Num,MSE
593,0.208380
594,0.208115
595,0.207850
596,0.207586
597,0.207322
598,0.207059
599,0.206796
600,0.206535
601,0.206275
602,0.206016
603,0.205757
604,0.205500
605,0.205242
606,0.204985
607,0.204729
608,0.204475
609,0.204222
610,0.203969
611,0.203717
612,0.203466
613,0.203215
614,0.202965
615,0.202717
616,0.202470
617,0.202222
618,0.201976
619,0.201729
620,0.201484
621,0.201239
622,0.200994
623,0.200751
624,0.200508
625,0.200265
626,0.200025
627,0.199786
628,0.199547
629,0.199308
630,0.199070
631,0.198832
632,0.198595
633,0.198359
634,0.198123
635,0.197889
636,0.197656
637,0.197423
638,0.197190
639,0.196958
640,0.196727
641,0.196497
642,0.196266
643,0.196037
644,0.195809
645,0.195581
646,0.195355
647,0.195129
648,0.194903
649,0.194678
650,0.194453
651,0.194230
652,0.194007
653,0.193786
654,0.193565
655,0.193344
656,0.193124
657,0.192905
658,0.192686
659,0.192468
660,0.192250
661,0.192032
662,0.191815
663,0.191599
664,0.191384
665,0.191169
666,0.190955
667,0.190742
668,0.190529
669,0.190318
670,0.190106
671,0.189895
672,0.189685
673,0.189475
674,0.189266
675,0.189057
676,0.188849
677,0.188641
678,0.188434
679,0.188228
680,0.188022
681,0.187818
682,0.187614
683,0.187411
684,0.187208
685,0.187006
686,0.186804
687,0.186602
688,0.186401
689,0.186200
690,0.186000
691,0.185801
692,0.185602
693,0.185405
694,0.185208
695,0.185012
696,0.184816
697,0.184620
698,0.184425
699,0.184231
700,0.184036
701,0.183842
702,0.183649
703,0.183456
704,0.183264
705,0.183073
706,0.182882
707,0.182692
708,0.182502
709,0.182313
710,0.182124
711,0.181936
712,0.181748
713,0.181561
714,0.181374
715,0.181187
716,0.181001
717,0.180816
718,0.180631
719,0.180446
720,0.180262
721,0.180079
722,0.179896
723,0.179714
724,0.179532
725,0.179351
726,0.179170
727,0.178989
728,0.178809
729,0.178630
730,0.178451
731,0.178272
732,0.178094
733,0.177916
734,0.177739
735,0.177562
736,0.177385
737,0.177210
738,0.177034
739,0.176859
740,0.176686
741,0.176512
742,0.176340
743,0.176167
744,0.175995
745,0.175823
746,0.175652
747,0.175481
748,0.175310
749,0.175140
750,0.174970
751,0.174801
752,0.174632
753,0.174463
754,0.174295
755,0.174127
756,0.173960
757,0.173793
758,0.173627
759,0.173461
760,0.173296
761,0.173132
762,0.172967
763,0.172804
764,0.172640
765,0.172477
766,0.172314
767,0.172152
768,0.171990
769,0.171828
770,0.171667
771,0.171506
772,0.171345
773,0.171185
774,0.171026
775,0.170866
776,0.170707
777,0.170549
778,0.170391
779,0.170234
780,0.170077
781,0.169921
